product_name,category,original_price,event_price,clinic_name,treatment_count
아이써마지 225샷,탄력/리프팅,1782000.0,990000.0,세니아클리닉,1
써마지 300샷,탄력/리프팅,1782000.0,990000.0,세니아클리닉,1
써마지 600샷,탄력/리프팅,3222000.0,1790000.0,세니아클리닉,1
아이써마지 450샷,탄력/리프팅,3222000.0,1790000.0,세니아클리닉,1
써마지 600샷 + 울쎄라피 프라임 300샷,탄력/리프팅,4842000.0,2690000.0,세니아클리닉,2
써마지 600샷 + 울쎄라피 프라임 600샷,탄력/리프팅,6282000.0,3490000.0,세니아클리닉,2
전체 턱 필러 아띠에르 1cc,턱/턱라인 필러,130000.0,79000.0,세니아클리닉,1
턱라인 필러 아띠에르 1cc,턱/턱라인 필러,214200.0,119000.0,세니아클리닉,1
턱 필러 레스틸렌/벨로테로/쥬비덤 1cc,턱/턱라인 필러,490000.0,269000.0,세니아클리닉,1
턱라인 필러 레스틸렌/벨로테로/쥬비덤 1cc,턱/턱라인 필러,592200.0,329000.0,세니아클리닉,1
[1회체험가] 인모드 FX 1부위,탄력/리프팅,52200.0,29000.0,세니아클리닉,1
인모드 FX 1부위,탄력/리프팅,110000.0,49000.0,세니아클리닉,1
인모드 FORMA 1부위,탄력/리프팅,110000.0,59000.0,세니아클리닉,1
인모드 FX 1부위 + 얼굴지방분해주사 (비스테로이드) 5cc,탄력/리프팅,150000.0,79000.0,세니아클리닉,2
풀페이스 인모드 FX,탄력/리프팅,200000.0,129000.0,세니아클리닉,1
인모드 FX 1부위 3회,탄력/리프팅,300000.0,135000.0,세니아클리닉,1
풀페이스 인모드 FORMA,탄력/리프팅,250200.0,139000.0,세니아클리닉,1
인모드 FORMA 1부위 3회,탄력/리프팅,300000.0,139000.0,세니아클리닉,1
바디 인모드 Fx 1부위,탄력/리프팅,190000.0,149000.0,세니아클리닉,1
풀페이스 인모드 FX + FORMA 1단계,탄력/리프팅,400000.0,229000.0,세니아클리닉,2
풀페이스 인모드 FX + FORMA + 얼굴지방분해주사 (비스테로이드) 5cc,탄력/리프팅,500000.0,259000.0,세니아클리닉,3
풀페이스 인모드 FX 3회,탄력/리프팅,592200.0,329000.0,세니아클리닉,1
풀페이스 인모드 FORMA 3회,탄력/리프팅,653400.0,363000.0,세니아클리닉,1
풀페이스 인모드 FX + FORMA 3회,탄력/리프팅,1078200.0,599000.0,세니아클리닉,2
전체 올리지오 100샷,탄력/리프팅,220000.0,135000.0,세니아클리닉,1
아이 올리지오 200샷,탄력/리프팅,718200.0,399000.0,세니아클리닉,1
올리지오 300샷,탄력/리프팅,550000.0,399000.0,세니아클리닉,1
올리지오 600샷,탄력/리프팅,990000.0,699000.0,세니아클리닉,1
아이 올리지오 400샷,탄력/리프팅,1258200.0,699000.0,세니아클리닉,1
"더마 슈링크 100샷 (이마, 목주름)",탄력/리프팅,70000.0,59000.0,세니아클리닉,1
