product_name,treatment_name,treatment_type,dosage,unit,equipments,medications,target_area,benefits
아이써마지 225샷,아이써마지,device,225.0,샷,써마지FLX,,눈가,리프팅 효과
써마지 300샷,써마지,device,300.0,샷,써마지FLX,,,"리프팅 효과, 안전성, 섬세함, 효과"
써마지 600샷,써마지,device,600.0,샷,써마지FLX,,,"리프팅 효과, 안전성, 섬세함, 효과"
아이써마지 450샷,아이써마지,device,450.0,샷,써마지FLX,,눈가,리프팅 효과
써마지 600샷 + 울쎄라피 프라임 300샷,써마지,device,600.0,샷,써마지FLX,,,리프팅 효과
써마지 600샷 + 울쎄라피 프라임 300샷,울쎄라피 프라임,device,300.0,샷,울쎄라,,,"깊은 피부층 타겟, 정교한 시술"
써마지 600샷 + 울쎄라피 프라임 600샷,써마지,device,600.0,샷,써마지FLX,,,리프팅 효과
써마지 600샷 + 울쎄라피 프라임 600샷,울쎄라피 프라임,device,600.0,샷,울쎄라,,,"깊은 피부층 타겟, 정교한 시술"
전체 턱 필러 아띠에르 1cc,아띠에르 필러,injection,1.0,cc,,"히알루론산, 리도카인","턱, 턱 라인","입체감 형성, 볼륨 형성"
턱라인 필러 아띠에르 1cc,아띠에르 필러,injection,1.0,cc,,"히알루론산, 리도카인",턱 라인,"입체감 형성, 볼륨 형성"
턱 필러 레스틸렌/벨로테로/쥬비덤 1cc,레스틸렌/벨로테로/쥬비덤 필러,injection,1.0,cc,,"히알루론산, 리도카인","턱, 턱 라인","입체감 형성, 볼륨 형성"
턱라인 필러 레스틸렌/벨로테로/쥬비덤 1cc,레스틸렌/벨로테로/쥬비덤 필러,injection,1.0,cc,,"히알루론산, 리도카인",턱 라인,"입체감 형성, 볼륨 형성"
[1회체험가] 인모드 FX 1부위,인모드 FX,device,,,인모드,,1부위,"지방 세포 감소, 라인 개선"
인모드 FX 1부위,인모드 FX,device,,,인모드,,1부위,"지방 세포 감소, 라인 개선"
인모드 FORMA 1부위,인모드 FORMA,device,,,인모드,,1부위,"콜라겐 생성 촉진, 주름 개선, 탄력 강화"
인모드 FX 1부위 + 얼굴지방분해주사 (비스테로이드) 5cc,인모드 FX,device,,,인모드,,1부위,"지방 세포 감소, 라인 개선"
인모드 FX 1부위 + 얼굴지방분해주사 (비스테로이드) 5cc,얼굴지방분해주사 (비스테로이드),injection,5.0,cc,,비스테로이드,얼굴,지방 감소
풀페이스 인모드 FX,인모드 FX,device,,,인모드,,풀페이스,"지방 감소, 라인 개선"
인모드 FX 1부위 3회,인모드 FX,device,,,인모드,,1부위,"지방 세포 감소, 라인 개선"
풀페이스 인모드 FORMA,인모드 FORMA,device,,,인모드,,풀페이스,"콜라겐 생성 촉진, 주름 개선, 탄력 강화"
인모드 FORMA 1부위 3회,인모드 FORMA,device,,,인모드,,1부위,"콜라겐 생성 촉진, 주름 개선, 탄력 강화"
바디 인모드 Fx 1부위,바디 인모드 Fx,device,,,인모드,,바디 1부위 (두 손바닥 크기),바디 라인 개선
풀페이스 인모드 FX + FORMA 1단계,인모드 FORMA,device,,,인모드,,풀페이스,"지방 감소, 콜라겐 재생"
풀페이스 인모드 FX + FORMA 1단계,인모드 FX,device,,,인모드,,풀페이스,"지방 감소, 라인 개선"
풀페이스 인모드 FX + FORMA + 얼굴지방분해주사 (비스테로이드) 5cc,인모드 FORMA,device,,,인모드,,풀페이스,"지방 감소, 콜라겐 재생"
풀페이스 인모드 FX + FORMA + 얼굴지방분해주사 (비스테로이드) 5cc,인모드 FX,device,,,인모드,,풀페이스,"지방 감소, 라인 개선"
풀페이스 인모드 FX + FORMA + 얼굴지방분해주사 (비스테로이드) 5cc,얼굴지방분해주사 (비스테로이드),injection,5.0,cc,,비스테로이드,얼굴,지방 감소
풀페이스 인모드 FX 3회,인모드 FX,device,,,인모드,,풀페이스,"지방 감소, 라인 개선"
풀페이스 인모드 FORMA 3회,인모드 FORMA,device,,,인모드,,풀페이스,"콜라겐 생성 촉진, 주름 개선, 탄력 강화"
풀페이스 인모드 FX + FORMA 3회,인모드 FORMA,device,,,인모드,,풀페이스,"지방 감소, 콜라겐 재생"
풀페이스 인모드 FX + FORMA 3회,인모드 FX,device,,,인모드,,풀페이스,"지방 감소, 라인 개선"
전체 올리지오 100샷,올리지오,device,100.0,샷,올리지오,,,
아이 올리지오 200샷,아이 올리지오,device,200.0,샷,올리지오,,눈가,
올리지오 300샷,올리지오,device,300.0,샷,올리지오,,,
올리지오 600샷,올리지오,device,600.0,샷,올리지오,,,
아이 올리지오 400샷,아이 올리지오,device,400.0,샷,올리지오,,눈가,
"더마 슈링크 100샷 (이마, 목주름)",더마 슈링크,device,100.0,샷,슈링크 유니버스,,"이마, 목주름","주름 개선, 리프팅"
아이 슈링크 100샷,아이 슈링크,device,100.0,샷,슈링크 유니버스,,눈가,"주름 개선, 리프팅"
[1회체험가] 슈링크 유니버스 울트라 MP모드 300샷,슈링크 유니버스 울트라 MP모드,device,300.0,샷,슈링크 유니버스,,,"리프팅, 탄력"
슈링크 유니버스 울트라 MP모드 300샷,슈링크 유니버스 울트라 MP모드,device,300.0,샷,슈링크 유니버스,,,"리프팅, 탄력"
슈링크 유니버스 울트라 MP모드 300샷 + 얼굴지방분해주사 (비스테로이드) 3cc,슈링크 유니버스 울트라 MP모드,device,300.0,샷,슈링크 유니버스,,,"리프팅, 탄력"
슈링크 유니버스 울트라 MP모드 300샷 + 얼굴지방분해주사 (비스테로이드) 3cc,얼굴지방분해주사 (비스테로이드),injection,3.0,cc,,,얼굴,지방 제거
슈링크 유니버스 부스터 300샷 + 전용 앰플,슈링크 유니버스 부스터,device,300.0,샷,슈링크 유니버스,GT38,,"리프팅, 물광 효과, 피부 결 개선"
슈링크 유니버스 울트라 MP모드 600샷 + 얼굴지방분해주사 (비스테로이드) 3cc,슈링크 유니버스 울트라 MP모드,device,600.0,샷,슈링크 유니버스,,,"리프팅, 탄력"
슈링크 유니버스 울트라 MP모드 600샷 + 얼굴지방분해주사 (비스테로이드) 3cc,얼굴지방분해주사 (비스테로이드),injection,3.0,cc,,,얼굴,지방 제거
슈링크 유니버스 울트라 MP모드 300샷 + 부스터 300샷 + 전용 앰플,슈링크 유니버스 울트라 MP모드,device,300.0,샷,슈링크 유니버스,,,"리프팅, 탄력"
슈링크 유니버스 울트라 MP모드 300샷 + 부스터 300샷 + 전용 앰플,슈링크 유니버스 부스터,device,300.0,샷,슈링크 유니버스,GT38,,"리프팅, 물광 효과, 피부 결 개선"
슈링크 유니버스 부스터 600샷 + 전용 앰플,슈링크 유니버스 부스터,device,600.0,샷,슈링크 유니버스,GT38,,"리프팅, 물광 효과, 피부 결 개선"
슈링크 유니버스 울트라 MP모드 100샷,슈링크 유니버스 울트라 MP모드,device,100.0,샷,슈링크 유니버스,,,"리프팅, 탄력"
[1회체험가] 포텐자 얼굴 전체,포텐자 얼굴 전체,device,1.0,회,포텐자,,얼굴 전체,
포텐자 얼굴 전체,포텐자 얼굴 전체,device,1.0,회,포텐자,,얼굴 전체,
포텐자 얼굴 전체 3회,포텐자 얼굴 전체,device,3.0,회,포텐자,,얼굴 전체,
포텐자 얼굴 전체 5회,포텐자 얼굴 전체,device,5.0,회,포텐자,,얼굴 전체,
[1회체험가] LDM 수분보습 6분,LDM 수분보습,device,,,LDM,,,"피부 재생, 건강한 피부 개선"
LDM 홍조 8분,LDM 홍조 관리,device,,,LDM,,,"홍조 개선, 세포 활성 유도"
LDM 수분보습 12분,LDM 수분보습,device,,,LDM,,,"피부 재생, 건강한 피부 개선"
LDM 여드름 12분,LDM 여드름 관리,device,,,LDM,,,"여드름 개선, 통증/부작용 걱정 없음"
LDM 리프팅 16분,LDM 얼굴 타이트닝 관리,device,,,LDM,,얼굴,"콜라겐 생성 유도, 피부 맑아짐, 타이트닝"
LDM 홍조 16분,LDM 홍조 관리,device,,,LDM,,,"홍조 개선, 세포 활성 유도"
LDM 24분,LDM 관리,device,,,LDM,,,"여드름 개선, 홍조 개선, 리프팅, 수분보습"
LDM 수분보습 12분 3회,LDM 수분보습,device,,회,LDM,,,"피부 재생, 건강한 피부 개선"
LDM 관리 100분,LDM 관리,device,,,LDM,,,
[1회체험가] 피코슈어 토닝 + 팩,피코슈어 토닝,laser,,,피코슈어,,,"다양한 색소성 질환 치료, 멜라닌 입자 파괴, 주변 조직 손상 최소화"
[1회체험가] 피코슈어 토닝 + 팩,팩,skincare,,,,,,
피코슈어 토닝 + 팩,피코슈어 토닝,laser,,,피코슈어,,,"다양한 색소성 질환 치료, 멜라닌 입자 파괴, 주변 조직 손상 최소화"
피코슈어 토닝 + 팩,팩,skincare,,,,,,
피코슈어 토닝 + 팩 5회,피코슈어 토닝,laser,,회,피코슈어,,,"다양한 색소성 질환 치료, 멜라닌 입자 파괴, 주변 조직 손상 최소화"
피코슈어 토닝 + 팩 5회,팩,skincare,,회,,,,
피코슈어 토닝 + 팩 10회,피코슈어 토닝,laser,,회,피코슈어,,,"다양한 색소성 질환 치료, 멜라닌 입자 파괴, 주변 조직 손상 최소화"
피코슈어 토닝 + 팩 10회,팩,skincare,,회,,,,
제네시스 토닝 1회,제네시스 토닝,laser,1.0,회,제네시스,,,"색소 제거, 피부 개선"
제네시스 토닝 3회,제네시스 토닝,laser,3.0,회,제네시스,,,"색소 제거, 피부 개선"
제네시스 토닝 5회,제네시스 토닝,laser,5.0,회,제네시스,,,"색소 제거, 피부 개선"
[1회체험가] V 레이저 (색소/혈관/홍조/여드름흉터) 중 1모드,V 레이저 1모드,laser,,,"V 레이저, 쿨뷰 핸드피스",,,
